run,n,side,neuron,energy,live,dom_irrep,dom_dim,dom_block,e_dom,block_dominant,alpha_plain,plain_label,alpha_twist,twist_label,aligned_plain,aligned_twist,test_acc
randinit_aff16_seed9,16,x,49,0.2553898862381341,True,22,8,16,(0.4601190907794858+0j),False,0.1840327742527932,M1l,0.2074870843286752,k2r,False,False,
randinit_aff16_seed9,16,x,50,0.17879505168621662,True,22,8,16,(0.5508390908179185+0j),False,0.21097630553319102,M0l,0.2319715851276948,k7l,False,False,
randinit_aff16_seed9,16,x,51,0.29807444880253015,True,22,8,16,(0.4246948031224055+0j),False,0.2510148177339258,M3r,0.22751251050360205,k6l,False,False,
randinit_aff16_seed9,16,x,52,0.21711070137862987,True,22,8,16,(0.5188928227601927+0j),False,0.1778948023472957,M2r,0.18660918761196174,k7r,False,False,
randinit_aff16_seed9,16,x,53,0.255023492286327,True,22,8,16,(0.4327690862001947+0j),False,0.14844322410509553,M0l,0.17081759733087604,k2r,False,False,
randinit_aff16_seed9,16,x,54,0.20814144232820178,True,22,8,16,(0.5897263160818235+0j),False,0.17782468074704705,M7r,0.23411837409965092,k3l,False,False,
randinit_aff16_seed9,16,x,55,0.19871936428760703,True,22,8,16,(0.5654774092479534+0j),False,0.20957121255095507,M6r,0.20201222639280123,k5l,False,False,
randinit_aff16_seed9,16,x,56,0.21125658380731824,True,22,8,16,(0.39312364440660374+0j),False,0.18461962180444083,M2l,0.18229991727775227,k6r,False,False,
randinit_aff16_seed9,16,x,57,0.26900963575195574,True,22,8,16,(0.42855524098287+0j),False,0.2332280068755196,M0r,0.20245447298418934,k6r,False,False,
randinit_aff16_seed9,16,x,58,0.21994293483549587,True,22,8,16,(0.5364289955060789+0j),False,0.1645245117476336,M3r,0.18569086076311475,k7r,False,False,
randinit_aff16_seed9,16,x,59,0.20258355890248061,True,22,8,16,(0.5013073998499206+0j),False,0.20811090639622026,M4r,0.16557907490145005,k1r,False,False,
randinit_aff16_seed9,16,x,60,0.2564764742861236,True,22,8,16,(0.5275690252580579+0j),False,0.21781625715425626,M4r,0.20221938075267637,k4l,False,False,
randinit_aff16_seed9,16,x,61,0.2719893502184444,True,22,8,16,(0.4686863392419738+0j),False,0.20170433465285903,M7r,0.2017753510411145,k2l,False,False,
randinit_aff16_seed9,16,x,62,0.2685114226530082,True,22,8,16,(0.5703872930253723+0j),False,0.2043050332875439,M6r,0.1951297306223857,k7l,False,False,
randinit_aff16_seed9,16,x,63,0.2942029040102719,True,22,8,16,(0.43685547368482464+0j),False,0.15140864761645592,M2r,0.1759678804075018,k7l,False,False,
randinit_aff16_seed9,16,x,64,0.3101578404088192,True,22,8,16,(0.5423365421525984+0j),False,0.2699894316645312,M1l,0.204718612904834,k5l,False,False,
randinit_aff16_seed9,16,x,65,0.21025471301626403,True,22,8,16,(0.5403921683015502+0j),False,0.16297740120942047,M3l,0.24351385480748122,k3l,False,False,
randinit_aff16_seed9,16,x,66,0.2803769928866406,True,22,8,16,(0.5354583859401052+0j),False,0.17418070815557357,M3l,0.18129211885531935,k3r,False,False,
