run,n,block,side,neuron,energy,alpha,family,coset_side
aff11_wu100k_m128_seed1,11,11,x,73,178.96313392206238,0.9999945244819872,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,74,231.62632904745877,0.9999963477791801,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,76,175.97258355255752,0.9999958487987268,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,77,232.05312832870416,0.9999958462519146,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,78,215.24494841648655,0.9999927399266367,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,79,253.81788034180323,0.9999962403429986,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,80,215.39417989599727,0.9999942144605537,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,81,227.40087601306405,0.9999966254901588,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,82,190.24866289545955,0.9999957653482459,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,83,45.005440820710014,0.9275563483925288,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,84,187.81042993383517,0.9999967986741859,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,85,130.75656775205476,0.9999858790401875,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,86,156.44587936576892,0.9999953276672793,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,87,234.21445662100572,0.9999932132847165,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,88,189.2352963487852,0.9999954850521935,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,89,208.20315807950402,0.9999972873176095,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,90,227.1562507121802,0.9999955952562224,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,91,177.31078708303437,0.9999970123496169,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,92,247.9308427721258,0.9999949885908707,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,93,232.0118158388878,0.9999961948149076,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,94,141.7944057028484,0.9999927022725119,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,95,113.17004291713965,0.9999943615403067,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,96,211.12389241042044,0.9999980173621547,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,97,174.87022286630696,0.9999934429556208,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,98,123.53913970664716,0.9999912617303071,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,99,216.21984576894684,0.9999965894285547,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,100,192.9660306787666,0.9999967639983621,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,101,167.11279009059444,0.9999911718885586,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,102,181.43549831288956,0.9999956344346116,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,103,209.83749367659883,0.9999958304399765,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,104,187.9459891982614,0.9999956990920085,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,106,157.03931071381282,0.9999963414435642,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,107,196.5860205209318,0.9999962274311454,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,108,155.06965496694883,0.9999926961637209,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,109,130.7620960890573,0.9999950986905601,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,110,228.03064066351655,0.9999940423300988,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,112,228.6306725872714,0.9999958957229393,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,113,233.60663189324055,0.999995663710994,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,114,238.7496657348972,0.9999975861565124,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,115,186.75086906309002,0.999992252088302,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,116,240.41170065089455,0.9999945701215204,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,117,215.2688651393231,0.9999961294430444,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,118,200.4673147782725,0.9999939259594769,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,119,177.7739589277585,0.9999968964114209,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,120,169.30284936576578,0.9999956115117383,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,121,120.04363742932158,0.9999932497890904,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,122,211.80511910821272,0.9999969014529655,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,123,171.65751729387924,0.9999954384724274,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,124,226.1571279777654,0.9999935654925224,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,125,151.30963230855517,0.99999627493989,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,126,168.0472705425301,0.999996854582679,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,127,235.63932748169137,0.9999967183635138,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,y,0,193.0395844063118,0.9999952443928503,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,1,159.05297831220196,0.9999964304835586,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,2,127.71184593337408,0.9999920936630873,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,3,190.53812394149202,0.9999943943556288,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,5,158.7901496081169,0.9999970676060558,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,6,21.47111842964699,0.9999777968827914,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,7,148.0347653190211,0.9999951303813431,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,8,237.19192974204907,0.999994058950976,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,9,226.92846510131957,0.9999952374932679,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,10,187.58427912639357,0.9999941816393971,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,11,167.91283398460678,0.9999980367314016,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,12,203.7995580980367,0.999996455988479,M_x (point stabilizer) idx=11 triv,l
