run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,support_orbit_dist,energy_by_block,frac_block_dominant,comp_energy,C_plain,C_plainchar,C_twist,wmean_alpha_plain,wmean_alpha_plainchar,wmean_alpha_twist,verdict_component
aff15_chughtai_m128_seed1,,5β,,,,,,,,,,,,,,,119864.60067491324,0.0,1.0,0.5404060237759859,5.621873304632946e-33,0.9999694188383312,0.7829362096210641,both
aff15_chughtai_m128_seed2,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.50 d5:0.50,0.9591058858517152,0.0009358471156131847,0.0,0.0,0.0,0.28184988382218773,0.30219826421408463,0.3866626084989571,neither
aff15_chughtai_m128_seed2,15.0,5,4.0,122.0,0.4968976793341778,0.9990399523403889,0.000452667874005549,0.0,0.9999999933631325,0.6069183127455652,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,107321.36332710763,0.9990399524247713,0.0005073797142437376,0.0004526678609850491,0.9995955427470999,0.7670298956993686,0.6071768807812042,plain
aff15_chughtai_m128_seed2,,5β,,,,,,,,,,,,,,,0.00022318582891745642,0.0,0.0,0.010144600082836706,1.045729512507536e-23,0.5702515922364912,0.6995454683015457,neither
aff15_chughtai_m128_seed3,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.15 d3:0.44 d5:0.41,0.9577533340210347,0.0779000337759388,0.0,0.0,0.0,0.23506177828377486,0.27281952646141516,0.2954100076329251,neither
aff15_chughtai_m128_seed3,15.0,5,4.0,148.0,0.4118018856258158,1.0,0.0,0.0,0.9999999964900432,0.6072733582030251,l:0.50 r:0.50,l:0.50 r:0.50,plain,4:1.00,,,96674.64945311919,1.0,0.0,0.0,0.9999999991305668,0.7608180960647581,0.6072713736632791,plain
aff15_chughtai_m128_seed3,,5β,,,,,,,,,,,,,,,0.02420489989583387,0.0,0.0,0.0,4.632043737115781e-26,0.49308792589588873,0.6278595248113177,neither
aff15_chughtai_m128_seed4,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.11 d3:0.32 d5:0.57,0.9534350112697313,0.0014082084850926208,0.0,0.0,0.0,0.191299020671075,0.20393583976199545,0.2991204625552462,neither
aff15_chughtai_m128_seed4,15.0,5,4.0,156.0,0.5749416625920829,0.9923856706388794,0.0036284114613563245,0.0,0.9999999941099175,0.6096522238401504,l:0.50 r:0.50,l:0.50 r:0.50,plain,2:0.00 4:1.00,,,104514.05530751133,0.9923856715194777,0.00398591726641973,0.003628411214102685,0.9968019380776157,0.7625481713416462,0.6116962638485458,plain
aff15_chughtai_m128_seed4,,5β,,,,,,,,,,,,,,,0.00035437603851822073,0.0,0.0,0.00860467225149413,6.481842138059129e-24,0.41191942801588327,0.6241027201643197,neither
aff15_chughtai_m128_seed5,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.31 d3:0.28 d5:0.41,0.9032782375171516,9.836372732276754,0.0,0.0,0.0,0.2618223456471143,0.2850359013105658,0.33504498330813326,neither
aff15_chughtai_m128_seed5,15.0,5,4.0,58.0,0.41125119125851195,1.0,0.0,0.0,0.9999997999571779,0.8973550275902902,l:0.50 r:0.50,l:0.50 r:0.50,plain,4:1.00,,,80843.64758247489,0.9998495123774879,0.0,4.136600208958029e-06,0.9999418253071529,0.6146698667530386,0.8973257627298736,plain
aff15_chughtai_m128_seed5,,5β,,,,,,,,,,,,,,,32704.633281559687,0.0,0.6936228929527882,0.24379872452926235,6.689349548783648e-33,0.9007079023324085,0.8638586736175029,plain
aff15_wu_m128_seed1,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.29 d3:0.17 d5:0.54,0.9328981705907973,0.137660019744119,0.0,0.0,0.0,0.29085496985546255,0.30857223521470095,0.38555571898434376,neither
aff15_wu_m128_seed1,15.0,5,4.0,109.0,0.5413096889202644,0.9999996812221024,0.0,0.0,0.999993329701581,0.5823153344777057,l:0.50 r:0.50,l:0.50 r:0.50,plain,4:1.00,,,24667.278325832103,1.0,0.0,0.0,0.9999973484471356,0.8163279848282864,0.5823817127188721,plain
aff15_wu_m128_seed1,,5β,,,,,,,,,,,,,,,0.029122193643150947,0.0,0.0,0.0,1.8768229960903613e-26,0.5573001563518132,0.7062197495784923,neither
aff15_wu_m128_seed2,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.47 d5:0.53,0.9400630259915228,0.48756334123845535,0.0,0.0,0.0,0.3061695469728045,0.3167793335365324,0.3433953702839967,neither
