run,n,block,side,neuron,energy,e_block,r1,rank,stab_u,ord_u,stab_v,ord_v
aff11_wu_m128_seed2,11,11,x,124,176.7558606346991,0.9999982972126616,0.9999949278000266,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,125,14.134116151629692,0.9927540851197103,0.9999948391112291,1,1,1,I,3
aff11_wu_m128_seed2,11,11,x,126,205.98107117398996,0.9999984648597884,0.9999964079281415,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,127,178.34313441016468,0.999998252572787,0.9999946657735973,1,1,1,M,10
aff11_wu_m128_seed2,11,11,y,0,228.85920423885443,0.999999479437467,0.9999959866554757,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,1,117.63790249346015,0.9999986381858383,0.9999960446794652,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,2,154.81087605491084,0.999997510040824,0.9999948260015737,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,3,265.0824570567602,0.9999992258337731,0.9999960767625807,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,4,171.45298324216512,0.9999995442350496,0.9999960376688141,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,5,164.10203554301756,0.9999978076569671,0.9999960522808782,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,6,231.03148077791556,0.9999991320511648,0.9999955275538529,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,7,17.668057774612553,0.932704373863359,0.9999913514694126,1,1,1,1,1
aff11_wu_m128_seed2,11,11,y,8,247.8636448094149,0.9999985217670151,0.999996064959404,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,9,265.26323777827736,0.9999995995528993,0.9999948494818621,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,10,175.00651680592406,0.9999989840200552,0.9999960669468463,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,11,236.36745436417723,0.9999974742626394,0.9999908789295013,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,12,226.54804727426833,0.9999996057774797,0.9999960209315567,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,13,229.6350630316437,0.999999420228306,0.999995948281526,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,14,155.37881912672103,0.9999976761862851,0.9999955189547985,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,15,239.74849521326547,0.9999978200617249,0.999994042326602,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,17,214.96283435383216,0.9999993286582834,0.9999940834057438,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,18,256.701194494136,0.9999995989553013,0.9999946477512665,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,19,198.74433987137033,0.9999990756056925,0.9999948429380965,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,20,217.09142054300293,0.9999983657117146,0.99999402362221,1,M,10,1,1
