run,n,side,neuron,energy,dom_dim,dom_k,e_dom,single,alpha_refl,r1
D59_MLP_seed1,59,x,59,663.7892917077737,2,3,0.9938783665560894,True,0.9990609412465297,0.9999943075825979
D59_MLP_seed1,59,x,60,324.5315527715656,2,14,0.9636846767486473,True,0.9973548465601678,0.9999922261642332
D59_MLP_seed1,59,x,61,354.49068691762733,2,14,0.9763814081268656,True,0.9983591599268521,0.9999813128426471
D59_MLP_seed1,59,x,62,390.18173661469933,2,19,0.9896192926829195,True,0.9953221862617849,0.9999949291484996
D59_MLP_seed1,59,x,63,418.50351271278845,2,20,0.9857270626163898,True,0.9979241485513578,0.9999865553279927
D59_MLP_seed1,59,x,64,411.78362085592283,2,20,0.987200197464031,True,0.998247078035365,0.9999604346709596
D59_MLP_seed1,59,x,65,648.5578902021826,2,3,0.9939866983323169,True,0.9989315058108721,0.9999981563254265
D59_MLP_seed1,59,x,66,616.2973123406529,2,15,0.9881924785639673,True,0.9987040473289054,0.9999906646466188
D59_MLP_seed1,59,x,67,421.9382350582542,2,20,0.9857853608383546,True,0.9978739347611019,0.9999834722364079
D59_MLP_seed1,59,x,68,434.77280918179883,2,15,0.9922922252977031,True,0.9976270840714985,0.9999899158202645
D59_MLP_seed1,59,x,69,794.6651148467336,2,6,0.994195182205815,True,0.9983879513297058,0.9999976208182911
D59_MLP_seed1,59,x,70,433.28262673979305,2,19,0.9938494620670655,True,0.9971767283043664,0.9999966995703974
D59_MLP_seed1,59,x,71,389.8721623237673,2,8,0.9927608106990353,True,0.9986494086078925,0.999997966491515
D59_MLP_seed1,59,x,72,1000.5384067528364,2,15,0.9915031499012708,True,0.9985755238742171,0.9999995847303629
D59_MLP_seed1,59,x,73,964.262079291951,2,15,0.9922611114880222,True,0.9966712439913132,0.9999994308739145
D59_MLP_seed1,59,x,74,182.51184566537844,2,7,0.9048731042819095,True,0.9965628233708933,0.9999967637529488
D59_MLP_seed1,59,x,75,355.78992058517554,2,19,0.9931284780357769,True,0.9968156839399058,0.9999742297894615
D59_MLP_seed1,59,x,76,345.4374401228875,2,19,0.992779702357765,True,0.9959099274838603,0.9999684245951742
D59_MLP_seed1,59,x,77,184.90079577653017,2,7,0.9047768770510548,True,0.9964640652005747,0.9999964960266249
D59_MLP_seed1,59,x,78,425.58408767841735,2,20,0.9857207141639662,True,0.9978462000301777,0.9999843831927071
D59_MLP_seed1,59,x,79,327.012876880629,2,14,0.9651039071140428,True,0.9972271031780552,0.999986768492559
D59_MLP_seed1,59,x,80,171.16037890248123,2,14,0.9777824296109596,True,0.9983518260769481,0.9999886691195853
D59_MLP_seed1,59,x,81,472.87121807035584,2,19,0.9912866638394651,True,0.9954566854747487,0.9999868617944814
D59_MLP_seed1,59,x,82,813.3707052125038,2,6,0.9937436438051949,True,0.9986954487271889,0.9999956814561249
D59_MLP_seed1,59,x,83,784.3574028738112,2,6,0.9944860758528863,True,0.9989430743290187,0.9999914182837136
D59_MLP_seed1,59,x,84,812.023382988065,2,6,0.9936869637286028,True,0.9984827532323476,0.9999948909959604
