run,side,neuron,energy,energy_frac,e_1,e_sgn,e_std,e_std',e_5a,e_5b,e_6d,dominant_irrep,alpha_A5,alpha_S4,alpha_S4~sgn,alpha_F20,alpha_F20~sgn,alpha_A4,alpha_S3xS2,alpha_S3xS2~sgn,alpha_D10,alpha_D8,alpha_D8~sgn,alpha_C6,alpha_C6~sgn,alpha_S3,alpha_S3',alpha_S3~sgn,alpha_C5,alpha_C4,alpha_C4~sgn,alpha_V4,alpha_primary,family_primary,proj_primary,alpha_any,family_any,live,aligned
S5_MLP_hidden_dim_32_seed4,x,3,924.0418926677456,0.022323219821982838,4.439248521040099e-34,0.03095005865068794,0.06717958055623066,0.08960432930542549,0.18040437394082937,0.21263858066955432,0.4192230768772721,s5_6d,0.03095005865068794,0.03430518269667721,0.08012039642345078,0.08013146756447831,0.11680073581363098,0.10178485775286852,0.11668723274516515,0.12587115707814317,0.14557027592443603,0.16118229947635634,0.20177601202863069,0.25982212526295595,0.25448650115403737,0.2141765800675723,0.2233689840671553,0.27047787063328493,0.32462934535540683,0.338642278551679,0.3398682413755651,0.28544538244580986,0.14557027592443603,D10,D10[1]r,0.3398682413755651,C4~sgn,True,False
S5_MLP_hidden_dim_32_seed4,x,4,771.1192923510429,0.018628879933600268,7.444111620020667e-34,0.004194205164888742,0.33635834273727017,0.15984183153378842,0.14630927398262505,0.15901096795515776,0.19428537862626907,standard,0.004194205164888741,0.2316202045642049,0.07506062757766024,0.06250896229172381,0.053237048036149,0.2692492310979908,0.24643655561690006,0.12413219930156952,0.08744528374756252,0.2983464781238256,0.15009769198911138,0.33131287758397054,0.39128615126060856,0.40070766853971584,0.3466782018644803,0.21479987976946263,0.1549207889123104,0.4087897983110657,0.48449804713066236,0.3781779692945782,0.2692492310979908,A4,A4[1]r,0.48449804713066236,C4~sgn,True,False
S5_MLP_hidden_dim_32_seed4,x,5,937.0929493852036,0.022638510297798675,2.443103739501262e-34,0.005667492191340683,0.43931928690951416,0.07478475404329873,0.15341178416754989,0.15851121210673974,0.16830547058155718,standard,0.005667492191340682,0.2669269468812265,0.046645532886984885,0.06272451879765707,0.08306658098439616,0.2994987625704288,0.37861908633799174,0.10633755011165756,0.1125779230721931,0.3808194199096229,0.16164121938287312,0.4523540086253257,0.3576426444136697,0.4584985435373582,0.42944570020250067,0.15407132941731247,0.18258016725372253,0.4357491552443149,0.5183672360949071,0.45798905720954936,0.37861908633799174,S3xS2,S3xS2[7]r,0.5183672360949071,C4~sgn,True,False
S5_MLP_hidden_dim_32_seed4,x,6,8113.219245836292,0.19600104511048133,6.505899483933998e-35,0.9149557773547926,0.00914611304814589,0.0069233585143668695,0.01919147443028874,0.016788768280270094,0.03299450837213405,sign,0.9149557773547925,0.0045017990330116706,0.9181346458598103,0.007034680495542313,0.9224131488317984,0.9222723180065345,0.0097897638787911,0.9252039587199642,0.9290109676727234,0.015166747289504946,0.9287865932811826,0.019715634712532674,0.9339542749830897,0.021801183357125237,0.9338849636311478,0.9335417486795314,0.9510705162730411,0.02884449274237215,0.9431285167419294,0.938199839648544,0.9290109676727234,D10,D10[1]r,0.9510705162730411,C5,True,True
S5_MLP_hidden_dim_32_seed4,x,7,831.3204446986978,0.020083233429969934,2.5165824482125428e-33,0.00011661861357510141,0.14202352441042218,0.21908497641614552,0.26877034725674026,0.13544214714591124,0.23456238615720634,s5_5d_a,0.00011661861357510178,0.06777926338461222,0.1699262852277795,0.12366227602933723,0.050651509130145114,0.19581551740391853,0.1188695138934117,0.23901278905268525,0.17431378515948243,0.2090860956783633,0.30871797589179245,0.36068963435544354,0.3240852642638417,0.22316251682393912,0.34120712375856305,0.3579110623016691,0.22734525418964474,0.4290884409136231,0.4148779088337735,0.3711932232212487,0.23901278905268525,S3xS2~sgn,S3xS2~sgn[3]r,0.4290884409136231,C4,True,False
S5_MLP_hidden_dim_32_seed4,x,8,787.3287203945869,0.01902047108144312,3.5927315127549796e-34,0.00690127234108007,0.1440690933197442,0.09673895688066246,0.253743800989763,0.25927190637058295,0.23927497009816764,s5_5d_b,0.006901272341080074,0.07830698158563515,0.05289516834212077,0.13202798734081833,0.0910984684597291,0.10165373555851336,0.15448162046007735,0.1633090826146437,0.18984155034939418,0.2013008487400472,0.22106343515864285,0.23327038945311088,0.24134171861483927,0.24670614793336917,0.2561732345052029,0.24086167030979988,0.27948350255576304,0.3599164260160168,0.41648494990059043,0.3206518211922376,0.18984155034939418,D10,D10[0]l,0.41648494990059043,C4~sgn,True,False
S5_MLP_hidden_dim_32_seed4,x,9,446.2450925835235,0.01078049315217026,1.2913430315686866e-33,0.018650178235671236,0.17039647789753903,0.097617280421751,0.1355601789974811,0.11538251821351653,0.46239336623404126,s5_6d,0.01865017823567129,0.08563440892249514,0.055520110628428106,0.07232510353029649,0.06611364659562478,0.12368998295772927,0.13887929309841762,0.11157235890496248,0.13140353110653305,0.1443200961380309,0.13907981990364218,0.3152197288106158,0.3204402458457265,0.26678677873343837,0.2026188040930455,0.2874723749696076,0.311714053657341,0.35325927592182377,0.35489539659652247,0.24708548945616604,0.13887929309841762,S3xS2,S3xS2[4]r,0.35489539659652247,C4~sgn,True,False
S5_MLP_hidden_dim_32_seed4,x,10,875.7811688893137,0.021157325987274087,4.09760393943187e-34,0.006667328730716235,0.03507460903486387,0.028321582869755554,0.09377713218243709,0.07925841886453064,0.756900928317697,s5_6d,0.006667328730716229,0.016866360317120833,0.02363034597146909,0.033002932688268566,0.04176305158485391,0.028345681390762056,0.047887384727094445,0.051663345506022716,0.06268760786318997,0.07768397579076758,0.06826355571315335,0.33697215638799277,0.3678933976868665,0.36483161684498516,0.07918427988880093,0.3626823133225597,0.6116088034551399,0.566190459524045,0.5495353586837559,0.11343522448568219,0.06268760786318997,D10,D10[3]l,0.6116088034551399,C5,True,False
S5_MLP_hidden_dim_32_seed4,x,11,1130.5359603919794,0.027311751729811547,4.094264550172863e-34,0.019791281217385596,0.12671271774894297,0.08573201268377996,0.4567518763795092,0.12071450766689368,0.19029760430348824,s5_5d_a,0.019791281217385666,0.07357200513306322,0.06621857302639109,0.3301981349506359,0.06691714816661133,0.13979057815945437,0.08731922317867827,0.2969238038507202,0.3710756914508282,0.4389598847542864,0.4248215121400971,0.16128828197116302,0.3974416885046658,0.17392849418820136,0.37033441338497697,0.3848014762876273,0.39599879481830297,0.5196398019570152,0.5034577364464334,0.5521148846448387,0.3710756914508282,D10,D10[4]r,0.5521148846448387,V4,True,False
S5_MLP_hidden_dim_32_seed4,x,12,618.2526812675206,0.014935892646187277,2.451972802450009e-33,0.018372828813459287,0.12312240301002393,0.11213869417898199,0.3308129458364784,0.1740179482980171,0.24153517986303963,s5_5d_a,0.018372828813459287,0.07573078581948345,0.0697216736830905,0.12012857406571549,0.07126655083015329,0.1454524595025738,0.13535871369639524,0.19177569419158363,0.17803882436296747,0.2206290380761477,0.19752446338769408,0.1972108474260556,0.26522553945545263,0.21148441418272784,0.2406834875082862,0.2419500372124757,0.2957173472840093,0.5069542334203209,0.3686903560059173,0.33188023277103407,0.19177569419158363,S3xS2~sgn,S3xS2~sgn[6]l,0.5069542334203209,C4,True,False
