run,side,neuron,family,energy,alpha,purity,top,c_std,c_sgn,c_stdp,c_5a,c_5b
S5_MLP_seed1,y,7,A4,437.8655874904086,0.999311229412442,0.9845094195045121,std',8.673954134840919e-05,0.015403840954139486,0.9845094195045121,,
S5_MLP_seed1,y,8,S3xS2~sgn,1334.9140288623944,0.998525116931446,0.9983699295042817,sgn,,0.9983699295042817,0.0015092474495542478,0.00012082304616387835,
S5_MLP_seed1,y,9,F20,780.5765509412449,0.9999951692732892,1.0000000000000002,5a,,,,1.0000000000000002,
S5_MLP_seed1,y,10,D10,456.2722031702552,0.9998825216521232,0.9999930614417434,5a,,1.089660412994621e-06,,0.9999930614417434,5.848897843904074e-06
S5_MLP_seed1,y,11,A4,327.0354272797292,0.994528559887552,0.9815965300165872,std',0.00267673372344352,0.015726736259969544,0.9815965300165872,,
S5_MLP_seed1,y,12,A4,1123.8232939689883,0.9998437005323512,0.9999850173012772,std,0.9999850173012772,1.8488500857228483e-06,1.3133848637106859e-05,,
S5_MLP_seed1,y,13,D10,754.0621985929425,0.999922434527004,0.9999958127473774,5a,,7.822232160633218e-07,,0.9999958127473774,3.405029406281303e-06
S5_MLP_seed1,y,14,F20,845.2925333234465,0.9999999278459064,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,y,15,A4,695.9632846488141,0.9987363017293676,0.9888311354638549,std',2.5124035479257782e-05,0.011143740500665909,0.9888311354638549,,
S5_MLP_seed1,y,16,A4,536.6335849251695,0.9994587619841024,0.9996637664932227,std',3.0621128360593138e-06,0.00033317139394094876,0.9996637664932227,,
S5_MLP_seed1,y,17,A4,1110.5078807198024,0.9998408845144644,0.9999851588430299,std,0.9999851588430299,1.9124532735022204e-06,1.2928703696752365e-05,,
S5_MLP_seed1,y,18,A4,551.1334034577757,0.9987827904014838,0.9938240619124358,std',4.21536499055839e-05,0.0061337844376585515,0.9938240619124358,,
S5_MLP_seed1,y,19,S4,1384.494755638205,0.9999516425676486,0.9999999999999999,std,0.9999999999999999,,,,
S5_MLP_seed1,y,21,F20,773.6183684784344,0.9999951736634116,1.0,5a,,,,1.0,
S5_MLP_seed1,y,22,F20,843.3894048217213,0.9999997938237216,0.9999999999999998,5a,,,,0.9999999999999998,
S5_MLP_seed1,y,23,A4,482.8765224301938,0.9992176084065872,0.9759470873628474,std',5.30404500292876e-05,0.02399987218712338,0.9759470873628474,,
S5_MLP_seed1,y,24,F20,767.6505331719618,0.9999998107490394,1.0,5a,,,,1.0,
S5_MLP_seed1,y,25,A4,542.1236028155389,0.9990270258139335,0.9748623699250236,std',1.1034028717640602e-05,0.0251265960462586,0.9748623699250236,,
S5_MLP_seed1,y,26,A4,552.8700296980852,0.996145874955068,0.9797992059175522,std',0.0003461590536611123,0.01985463502878654,0.9797992059175522,,
S5_MLP_seed1,y,27,A4,518.0919454924665,0.999144404841089,0.9848893849475534,std',1.0999186713587289e-05,0.015099615865733091,0.9848893849475534,,
S5_MLP_seed1,y,28,A4,553.8744389553807,0.9989132725573556,0.9945394563340212,std',1.7455139291023084e-05,0.005443088526687639,0.9945394563340212,,
S5_MLP_seed1,y,29,A4,692.646126021208,0.9956574331018092,0.976743885683658,std',0.00020553539061865072,0.023050578925723292,0.976743885683658,,
S5_MLP_seed1,y,30,A4,402.83541490926245,0.999283921329412,0.9504646860618746,std',3.1372030910676454e-05,0.04950394190721448,0.9504646860618746,,
S5_MLP_seed1,y,31,A4,499.01834262757376,0.9992516554754896,0.9849697266378545,std',1.0895338251121072e-05,0.015019378023894263,0.9849697266378545,,
S5_MLP_seed1,y,32,A4,577.929166128783,0.9987128922763722,0.9833856138705079,std',7.71282231270522e-05,0.016537257906365094,0.9833856138705079,,
S5_MLP_seed1,y,33,A4,286.13824934439583,0.999367603908672,0.9947397460857172,std',7.751868333605979e-05,0.005182735230946615,0.9947397460857172,,
S5_MLP_seed1,y,34,S4,1279.95097786913,0.99999123658078,1.0000000000000002,std,1.0000000000000002,,,,
S5_MLP_seed1,y,35,D10,794.4451015348089,0.9998832207280944,0.9999932927420218,5a,,1.07143749599889e-06,,0.9999932927420218,5.635820481897502e-06
S5_MLP_seed1,y,36,A4,526.9749620216605,0.9993026923658732,0.9850416988459321,std',5.623740575009946e-05,0.014902063748317658,0.9850416988459321,,
S5_MLP_seed1,y,37,S4,1243.7254263371833,0.99999130899311,0.9999999999999998,std,0.9999999999999998,,,,
S5_MLP_seed1,y,38,A4,574.790809005348,0.9992291304249714,0.9937510361818502,std',8.858770512792335e-05,0.006160376113021974,0.9937510361818502,,
S5_MLP_seed1,y,39,A4,601.1598094935395,0.9988243076525812,0.9800079720155429,std',2.2654766001406392e-05,0.019969373218456,0.9800079720155429,,
S5_MLP_seed1,y,40,A4,488.71004203105184,0.998775751501295,0.9843188224894064,std',2.2495503228318097e-05,0.01565868200736533,0.9843188224894064,,
S5_MLP_seed1,y,41,D10,162.45878540836566,0.9095581669999446,0.9939411288848333,5a,,0.006050383812916774,,0.9939411288848333,8.487302249430955e-06
S5_MLP_seed1,y,42,A4,280.31617796561136,0.9916371401602234,0.951381116567985,std',0.00035132747247802477,0.04826755595953661,0.951381116567985,,
S5_MLP_seed1,y,43,A4,1215.5510155517145,0.9998412076624636,0.9999845821068153,std,0.9999845821068153,2.124077930755578e-06,1.3293815253813862e-05,,
S5_MLP_seed1,y,44,A4,530.1061920522958,0.9993397086951994,0.998296191874104,std',6.1200642004537765e-06,0.0016976880616953619,0.998296191874104,,
S5_MLP_seed1,y,45,D10,456.3655306293268,0.9998824556500256,0.9999930005145867,5a,,1.1455283849376158e-06,,0.9999930005145867,5.853957028287436e-06
