run,side,neuron,energy,energy_frac,e_1,e_sgn,e_std,e_std',e_5a,e_5b,e_6d,dominant_irrep,alpha_A5,alpha_S4,alpha_S4~sgn,alpha_F20,alpha_F20~sgn,alpha_A4,alpha_S3xS2,alpha_S3xS2~sgn,alpha_D10,alpha_D8,alpha_D8~sgn,alpha_C6,alpha_C6~sgn,alpha_S3,alpha_S3',alpha_S3~sgn,alpha_C5,alpha_C4,alpha_C4~sgn,alpha_V4,alpha_primary,family_primary,proj_primary,alpha_any,family_any,live,aligned
S5_MLP_seed22,x,39,638.7690542240533,0.006344677326327516,2.2243611509660125e-33,5.4247835448287574e-05,0.023607261306498827,0.0001693321130948829,0.9427239933361996,0.032756907005787615,0.0006882584029703958,s5_5d_a,5.424783544828829e-05,0.023359791306521,0.00015634023599741989,0.7439111114307011,0.01295497600937043,0.023493601405619575,0.02985642776067337,0.4754875871153677,0.7446645725291513,0.998176079797737,0.7323126720083986,0.029932895651521966,0.47568939949138606,0.030064341680200515,0.4844154401838316,0.47563243023463203,0.7447383683784952,0.9983788084520102,0.7326512568008341,0.9984181192340241,0.7446645725291513,D10,D10[5]l,0.9984181192340241,V4,True,False
S5_MLP_seed22,x,40,1696.896671966473,0.01685470166181524,2.7670684857746646e-33,7.114560596220491e-11,0.9999999636556033,7.390065076615128e-09,7.922860892817046e-09,1.2567309007083945e-08,8.393016476781358e-09,standard,7.114560596192089e-11,0.9999999591409112,3.3417360041454827e-09,3.9327824212072785e-09,4.951833649526874e-09,0.9999999624826489,0.7392134898258333,5.8538198057312874e-09,8.411987593444288e-09,0.999999968924349,1.1558170075344558e-08,0.7392134924842275,0.8178547889926288,0.9999999642200109,0.7392134944659258,8.593330961386209e-09,9.991971180105749e-09,0.999999971312041,0.8851182333168562,0.9999999743789109,0.9999999591409112,S4,S4[3]r,0.9999999591409112,S4,True,True
S5_MLP_seed22,x,41,881.0369177154384,0.008751042209264452,2.655320834779469e-33,0.014053407055091047,2.386805257124636e-05,0.9856868539077793,8.486332018947346e-05,6.331138589478778e-05,8.769627847432802e-05,standard_sign,0.014053407055091047,1.4836356046341366e-05,0.9996513332027438,2.9319001949681615e-05,0.014080494600554116,0.9996567707732138,3.1007634202772224e-05,0.9599548108185902,0.014099118695986262,6.227064939591455e-05,0.9996996325639321,0.6216713758428731,0.9599666188247612,7.992881615909983e-05,0.959965010946781,0.9997239590175175,0.014136921644145197,0.9205571381640772,0.999726742442717,0.9997207646058096,0.9996567707732138,A4,A4[2]r,0.999726742442717,C4~sgn,True,True
S5_MLP_seed22,x,42,686.1922937348961,0.00681571635127049,2.0676752516076614e-34,0.006826141253116225,0.00010555896294233764,0.9927916783689247,9.369313584361343e-05,4.484603092890365e-05,0.00013808224824523387,standard_sign,0.006826141253116227,6.802206592189072e-05,0.9993944024789897,2.9768373868170265e-05,0.006847629309184537,0.9994209257349569,8.016602441087446e-05,0.8979229965034682,0.006870895291069842,0.00010232911353724178,0.9994415010271364,0.6620923921526108,0.8979563271885979,0.00013747618897918536,0.8979427278789786,0.9996030150633337,0.006933698963592975,0.9373009411176333,0.9995179080060463,0.9994920527631466,0.9994209257349569,A4,A4[4]r,0.9996030150633337,S3~sgn,True,True
S5_MLP_seed22,x,43,646.3600400238083,0.006420076025074256,3.484984057150767e-34,0.024475408397558733,0.02907207199284172,0.9453181494790958,0.0004528858841578209,0.00019409746327076532,0.0004873867830752428,standard_sign,0.02447540839755874,0.028877684657918155,0.9695214998916029,0.00015894556619981706,0.024546556167563245,0.9983991845495206,0.02251560718945616,0.9152104321760832,0.02470550173376303,0.02915314594413681,0.9698139055719839,0.6080157606377737,0.9387829719044174,0.029116152976837634,0.9152865676063574,0.9698174853763436,0.024873020809573362,0.8776814593620068,0.9699574037069391,0.998763144535489,0.9983991845495206,A4,A4[0]r,0.998763144535489,V4,True,True
S5_MLP_seed22,x,44,571.4529336806469,0.005676049031196812,1.4978079797240347e-33,0.02917131900994895,0.02895933578471096,0.9407211494599571,0.00037219361292508324,0.00017246461607651619,0.0006035375163812044,standard_sign,0.02917131900994895,0.028748636428425053,0.9694945856002816,0.00012657552308733804,0.02922585084207868,0.9982432220287056,0.021416031078205427,0.9228735347847965,0.029324041257170103,0.028948750189336504,0.9697029781380054,0.6079685675499343,0.9464176814293678,0.029004724676206236,0.9229040780702576,0.9698763496191772,0.02965401538983095,0.853013425403114,0.9698746020129935,0.9985551047830327,0.9982432220287056,A4,A4[2]r,0.9985551047830327,V4,True,True
S5_MLP_seed22,x,45,310.9016233310737,0.0030880808442783243,4.1725190960021797e-35,0.018970720228313684,0.0005622691290226545,0.9774869136983192,0.002045480913912518,0.00039446831257450673,0.0005401477178571332,standard_sign,0.018970720228313684,0.00027885526904802176,0.8983186388249372,0.0010229810729903478,0.019136404370054358,0.8983516645582587,0.0005946534283098702,0.9955007185732032,0.020039542660634145,0.0015314202667317256,0.8994047700295563,0.8361634826313642,0.9955804667268368,0.0007449265616180836,0.9956118260756118,0.9970072917616862,0.020216874953680415,0.8276590424897315,0.9000029654420629,0.8997013105373902,0.9955007185732032,S3xS2~sgn,S3xS2~sgn[2]r,0.9970072917616862,S3~sgn,True,True
S5_MLP_seed22,x,46,669.1880985711043,0.006646819422412199,1.1962069127601516e-36,0.03842164932309217,0.0002009416627807077,0.9602820953523121,0.00037906565236555496,0.00017429902259910102,0.0005419489868498579,standard_sign,0.03842164932309218,0.00016342994542894776,0.9984291597667183,0.0002103699187821607,0.038498876917293604,0.9985925897121474,0.00020739632085864902,0.744305585693776,0.038692783066298767,0.00033017185371995804,0.9985869517408444,0.7743066036641413,0.7444097525626155,0.0004947098515170721,0.7443519032900832,0.9987972735619444,0.038866335326091246,0.8457360947492973,0.9987719537687343,0.9987892092715396,0.9985925897121474,A4,A4[0]r,0.9987972735619444,S3~sgn,True,True
S5_MLP_seed22,x,47,1658.130330630704,0.01646964868332287,1.9045783869786563e-34,5.799617905079659e-10,0.9999999756968133,4.059112648527181e-09,5.459274341234342e-09,7.248426580427803e-09,6.956412002073497e-09,standard,5.799617905079763e-10,0.999999972857872,2.9437145405749943e-09,2.0125963311299083e-09,3.595494738443229e-09,0.9999999743617077,0.7391699366856476,4.691649950901869e-09,4.558347887379899e-09,0.9999999773925944,6.396709887300849e-09,0.7391699401120256,0.817889081933729,0.9999999769752737,0.739169938963407,7.462873899913814e-09,7.326886685190856e-09,0.9999999816824985,0.8850880716629128,0.9999999809523905,0.999999972857872,S4,S4[3]r,0.999999972857872,S4,True,True
S5_MLP_seed22,x,48,1744.4204996273813,0.017326739794887826,2.1438190526027485e-33,2.889755515150527e-12,0.9999999414989206,1.0453232792956323e-08,1.2695865506002618e-08,1.8329799360702143e-08,1.7019292334771653e-08,standard,2.889755515139867e-12,0.9999999380096881,4.073134310346917e-09,5.114470943324702e-09,6.670740563493648e-09,0.9999999386731498,0.7392055424976499,1.0000783515142102e-08,9.222013961700215e-09,0.9999999507017202,1.3306075363458058e-08,0.7392055486848778,0.8177320469011239,0.999999946728021,0.7392055482588681,1.6497141083193115e-08,1.597729456916861e-08,0.9999999608392087,0.8852285898158383,0.9999999527313915,0.9999999380096881,S4,S4[3]r,0.9999999380096881,S4,True,True
